Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Corey Kispert,SF,23,WAS,74,45,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,11.5,0.657,0.656,0.15,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,0.088,-0.1,-1.4,-1.5,0.3,3.55284,5.135135135135135,3.9189189189189193,1.2162162162162162,1.7142857142857144,0.20567375886524822,9.2637,0.10247349823321554,0.045936395759717315,39.69465648854962,14.120141342756183,2.6,8.714285714285714,13.986486486486486
Maxi Kleber,C,31,DAL,37,5,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0.0,-2.2,0.0,9.0,3.5135135135135136,1.8918918918918917,1.6216216216216217,2.0,0.06796116504854369,6.0976,0.1553784860557769,0.09163346613545816,39.473684210526315,8.46215139442231,2.0909090909090904,4.571428571428572,14.108108108108107
Nathan Knight,PF,25,MIN,38,0,7.7,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.6,0.644,0.617,1.0,1.5,0.684,0.6,0.9,1.5,0.3,0.3,0.2,0.6,1.1,3.7,14.5,0.655,0.272,0.704,8.6,12.8,10.8,6.1,1.6,1.8,16.5,18.7,0.4,0.3,0.7,0.116,-2.3,-0.8,-3.2,-0.1,1.83609,1.8421052631578945,1.0526315789473684,0.7894736842105263,0.5,0.021390374331550804,12.2485,0.1818181818181818,0.14285714285714288,22.22222222222222,17.2987012987013,2.2,2.3333333333333335,11.447368421052632
Kevin Knox,PF-SF,23,TOT,63,5,15.1,2.4,5.3,0.458,1.0,3.0,0.349,1.4,2.3,0.596,0.556,0.7,1.0,0.767,0.5,2.3,2.8,0.5,0.4,0.2,0.8,1.5,6.6,11.1,0.579,0.56,0.181,3.9,17.3,10.5,5.2,1.2,1.1,12.2,18.4,0.1,0.5,0.7,0.034,-2.1,-1.4,-3.5,-0.4,3.0,1.111111111111111,0.15873015873015872,0.7936507936507936,0.625,0.005434782608695653,10.653599999999999,0.19205298013245034,0.09933774834437087,36.14457831325301,15.735099337748345,2.4999999999999996,4.25,8.809523809523808
Christian Koloko,C,22,TOR,58,19,13.8,1.2,2.6,0.48,0.0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1.0,0.627,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5.0,1.3,6.9,10.2,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3,1.5,2.9310344827586206,1.206896551724138,1.7241379310344827,1.6666666666666667,0.0673076923076923,5.3768,0.21014492753623187,0.15942028985507248,7.142857142857142,8.08695652173913,1.5714285714285716,4.0,19.655172413793103
John Konchar,SG,26,MEM,72,23,20.8,1.9,4.4,0.431,0.8,2.5,0.339,1.1,2.0,0.545,0.525,0.4,0.5,0.778,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,2.3,4.861111111111112,1.3888888888888888,3.4722222222222223,2.8,0.09615384615384615,5.636800000000001,0.23076923076923075,0.07692307692307693,36.231884057971016,8.826923076923075,1.1428571428571428,5.4,37.5
Furkan Korkmaz,SG,25,PHI,37,0,9.5,1.3,3.0,0.432,0.5,1.2,0.391,0.8,1.8,0.462,0.514,0.7,1.0,0.722,0.2,1.0,1.1,0.6,0.3,0.1,0.6,0.5,3.8,9.3,0.552,0.414,0.324,2.0,11.8,7.0,8.8,1.4,0.8,15.9,19.1,-0.2,0.3,0.1,0.019,-3.3,-1.0,-4.4,-0.2,5.0,0.2702702702702703,-0.5405405405405406,0.8108108108108109,1.0,-0.010471204188481676,10.543200000000002,0.14736842105263157,0.05263157894736842,28.57142857142857,14.399999999999999,1.25,3.0,7.540540540540541
Luke Kornet,C,27,BOS,69,0,11.7,1.6,2.5,0.665,0.0,0.2,0.231,1.6,2.3,0.701,0.674,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8,16.7,0.697,0.076,0.229,11.9,14.8,13.4,9.1,0.7,4.9,11.8,11.5,2.1,1.2,3.3,0.198,-0.4,1.3,1.0,0.6,2.133278,4.782608695652173,3.0434782608695654,1.7391304347826086,2.0,0.1826086956521739,8.0155,0.2136752136752137,0.10256410256410256,7.4074074074074066,11.692307692307693,1.3333333333333335,4.0,29.043478260869563
Vit Krejci,PG,22,ATL,29,0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.473,0.0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0.0,0.2,0.6,1.2,7.6,0.475,0.568,0.054,3.9,13.4,8.6,12.4,1.4,0.5,11.7,10.9,0.0,0.1,0.1,0.042,-4.2,0.6,-3.6,-0.1,1.563518,0.3448275862068966,0.0,0.3448275862068966,2.9999999999999996,0.0,5.1775,0.15789473684210525,0.10526315789473684,35.0,7.578947368421052,2.9999999999999996,3.4999999999999996,2.6206896551724137
Jonathan Kuminga,PF,20,GSW,67,16,20.8,3.9,7.4,0.525,0.8,2.2,0.37,3.1,5.2,0.59,0.579,1.3,2.1,0.652,1.0,2.4,3.4,1.9,0.6,0.5,1.4,2.3,9.9,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2.0,14.6,19.6,1.0,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1,5.73984,3.582089552238806,1.4925373134328357,2.08955223880597,1.3571428571428572,0.0510204081632653,11.7012,0.16826923076923075,0.11057692307692306,22.916666666666664,17.134615384615383,2.0909090909090904,3.3571428571428577,27.791044776119403
Kyle Kuzma,PF,27,WAS,64,64,35.0,8.0,17.8,0.448,2.5,7.5,0.333,5.5,10.3,0.533,0.518,2.7,3.7,0.73,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2,13.0,1.40625,-1.5625,2.96875,1.2333333333333334,-0.03584229390681004,15.1776,0.21428571428571427,0.06571428571428571,29.64426877470356,21.805714285714284,2.0909090909090904,3.5,42.453125
Anthony Lamb,SF,25,GSW,62,4,19.3,2.4,5.1,0.471,1.2,3.2,0.367,1.2,1.9,0.652,0.588,0.7,1.0,0.767,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,0.253254,3.870967741935484,1.935483870967742,1.935483870967742,1.6666666666666665,0.08695652173913043,8.418000000000001,0.1761658031088083,0.11398963730569948,38.554216867469876,12.49740932642487,2.75,3.9999999999999996,21.096774193548388
Jock Landale,C,27,PHO,69,4,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,0.559,1.1,1.5,0.752,1.7,2.3,4.1,1.0,0.2,0.4,0.9,1.8,6.6,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.8,-0.4,-1.1,0.2,1.563518,3.91304347826087,2.1739130434782608,1.7391304347826086,1.1111111111111112,0.07772020725388601,11.4835,0.20422535211267606,0.1267605633802817,19.67213114754098,16.732394366197184,2.9999999999999996,3.222222222222222,28.521739130434778
Romeo Langford,SG,23,SAS,43,21,19.6,2.8,6.0,0.467,0.4,1.4,0.262,2.4,4.6,0.53,0.498,0.9,1.3,0.696,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,5.634257,1.1627906976744187,0.6976744186046512,0.46511627906976744,1.7142857142857144,0.01948051948051948,8.069600000000001,0.11224489795918367,0.08163265306122448,18.918918918918916,12.673469387755102,1.7777777777777781,4.571428571428571,4.837209302325581
Jake LaRavia,PF,21,MEM,35,0,11.8,1.1,2.7,0.389,0.7,2.0,0.338,0.4,0.7,0.542,0.516,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3.0,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2,3.04764,1.4285714285714286,0.0,1.4285714285714286,1.2,0.0,6.2127,0.1440677966101695,0.11864406779661016,42.5531914893617,9.152542372881356,3.4999999999999996,3.6,9.571428571428571
Zach LaVine,SG,27,CHI,77,77,35.9,8.7,18.0,0.485,2.6,7.1,0.375,6.1,11.0,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,37.0965,9.22077922077922,5.454545454545455,3.766233766233766,1.6800000000000002,0.14840989399293286,17.1781,0.1392757660167131,0.058495821727019504,28.28685258964143,24.86908077994429,1.909090909090909,4.52,71.55844155844156
Damion Lee,SG,30,PHO,74,5,20.4,2.7,6.1,0.442,1.5,3.3,0.445,1.2,2.8,0.439,0.564,1.3,1.4,0.904,0.5,2.5,3.0,1.3,0.4,0.1,1.1,1.6,8.2,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,1.83609,3.5135135135135136,1.4864864864864866,1.8918918918918917,1.1818181818181817,0.06748466257668712,9.8941,0.14705882352941177,0.07843137254901962,35.1063829787234,14.470588235294118,3.2,3.818181818181818,20.24324324324324
Saben Lee,PG,23,TOT,25,1,14.9,2.0,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,0.45,1.7,2.3,0.737,0.5,1.3,1.8,2.7,0.8,0.0,1.0,1.3,6.0,13.1,0.517,0.248,0.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,0.088,-2.7,0.9,-1.8,0.0,1.752638,2.8,0.8,1.6,2.7,0.010256410256410256,10.0815,0.14093959731543623,0.087248322147651,20.0,14.496644295302012,1.625,2.4,20.96
Alex Len,C,29,SAC,26,2,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,12.8,0.58,0.067,0.533,17.2,25.4,21.3,9.3,1.2,6.0,30.2,14.1,0.1,0.2,0.3,0.085,-4.9,1.0,-4.0,-0.1,3.9186,1.1538461538461537,0.38461538461538464,0.7692307692307693,0.8333333333333334,0.007092198581560284,8.177999999999999,0.3225806451612903,0.1774193548387097,7.6923076923076925,9.870967741935484,1.8333333333333333,1.0,9.846153846153847
Kawhi Leonard,SF,31,LAC,52,50,33.6,8.6,16.8,0.512,2.0,4.8,0.416,6.6,11.9,0.551,0.572,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5,42.492492,13.653846153846153,9.423076923076925,4.230769230769231,2.2941176470588234,0.1814814814814815,16.821,0.21726190476190477,0.047619047619047616,22.22222222222222,25.5,0.8421052631578948,6.235294117647059,101.11538461538461
Caris LeVert,SG,28,CLE,74,30,30.2,4.3,10.0,0.431,1.7,4.4,0.392,2.6,5.6,0.462,0.517,1.8,2.4,0.722,0.7,3.1,3.8,3.9,1.0,0.3,1.6,2.3,12.1,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,18.796296,5.9459459459459465,1.8918918918918917,4.1891891891891895,2.4375,0.0748663101604278,10.2102,0.14569536423841062,0.076158940397351,30.555555555555557,14.42384105960265,1.769230769230769,3.75,51.94594594594595
Kira Lewis Jr.,PG,21,NOP,25,0,9.4,1.6,3.5,0.455,0.6,1.4,0.441,1.0,2.2,0.463,0.54,0.8,0.9,0.864,0.2,1.1,1.3,0.9,0.4,0.1,0.4,1.0,4.6,14.5,0.584,0.386,0.25,2.4,13.5,8.0,14.0,2.1,0.8,9.3,19.7,0.3,0.3,0.6,0.122,-0.8,0.5,-0.3,0.1,4.00428,2.4,1.2,1.2,2.25,0.015228426395939087,11.5048,0.1702127659574468,0.10638297872340426,28.57142857142857,17.617021276595743,2.0,5.5,17.4
Damian Lillard,PG,32,POR,58,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9,42.492492,15.517241379310345,14.137931034482756,1.3793103448275863,2.2121212121212124,0.24260355029585798,21.801,0.14325068870523416,0.05234159779614325,35.3125,31.933884297520667,1.5833333333333333,4.1818181818181825,36.827586206896555
Nassir Little,SF,22,POR,54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.538,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,10.2,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1.0,1.8,10.0,16.0,0.2,0.4,0.7,0.032,-1.6,-1.5,-3.0,-0.3,4.171548,1.2962962962962963,0.3703703703703704,0.7407407407407408,1.2857142857142858,0.0125,8.88,0.16022099447513813,0.06629834254143646,34.11764705882353,13.127071823204417,1.4999999999999998,5.142857142857143,7.555555555555555
Isaiah Livers,PF,24,DET,52,22,23.1,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.545,0.6,0.8,0.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2.0,6.7,8.4,0.567,0.705,0.135,2.5,11.0,6.6,4.8,1.1,2.1,9.0,11.9,0.5,0.5,1.0,0.041,-2.1,-0.3,-2.4,-0.1,1.563518,1.9230769230769231,0.9615384615384616,0.9615384615384616,1.3333333333333335,0.04201680672268907,6.747299999999999,0.13852813852813853,0.08658008658008658,41.48936170212766,10.441558441558442,2.0,6.166666666666666,8.076923076923077
Kenneth Lofton Jr.,PF,20,MEM,24,1,7.3,2.0,3.9,0.527,0.3,0.7,0.353,1.8,3.2,0.566,0.559,0.7,1.1,0.593,0.8,1.3,2.1,0.8,0.2,0.1,0.5,1.2,5.0,20.2,0.572,0.183,0.29,11.5,19.2,15.4,18.1,1.3,1.0,10.3,27.6,0.3,0.2,0.5,0.145,0.7,-1.1,-0.4,0.1,1.505966,2.083333333333333,1.25,0.8333333333333334,1.6,0.010869565217391304,15.7872,0.21917808219178084,0.1643835616438356,15.217391304347828,24.65753424657534,3.999999999999999,4.6,16.833333333333332
Kevon Looney,C,26,GSW,82,70,23.9,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2.0,8.0,10.609756097560975,7.195121951219513,3.414634146341463,5.0,0.5566037735849058,6.7734,0.297071129707113,0.11297071129707115,0.0,10.543933054393307,2.2500000000000004,6.0,60.78048780487804
Brook Lopez,C,34,MIL,78,78,30.4,6.1,11.5,0.531,1.7,4.7,0.374,4.4,6.9,0.637,0.606,1.9,2.4,0.784,2.0,4.7,6.7,1.3,0.5,2.5,1.4,2.6,15.9,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5,13.906976,10.256410256410255,5.2564102564102555,5.0,0.9285714285714287,0.21243523316062174,12.159,0.25328947368421056,0.08552631578947369,29.01234567901235,18.82894736842105,0.8666666666666667,5.571428571428572,92.0
Robin Lopez,C,34,CLE,37,2,8.1,1.3,2.0,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.653,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3.0,11.6,0.675,0.053,0.24,9.1,11.0,10.0,9.1,0.3,2.5,23.2,16.1,0.2,0.3,0.6,0.094,-3.4,0.3,-3.0,-0.1,1.83609,1.6216216216216217,0.5405405405405406,0.8108108108108109,0.7142857142857143,0.012422360248447204,10.867500000000001,0.1358024691358025,0.14814814814814814,4.761904761904762,13.333333333333334,3.999999999999999,2.0000000000000004,9.405405405405405
Kevin Love,PF,34,TOT,62,20,20.0,2.7,6.8,0.389,1.6,4.8,0.334,1.1,2.1,0.516,0.506,1.3,1.5,0.879,1.0,5.5,6.4,1.9,0.3,0.2,1.1,1.6,8.2,13.1,0.548,0.698,0.215,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2.0,2.6,0.099,0.2,0.4,0.6,0.8,32.056968,4.193548387096775,0.967741935483871,3.225806451612903,1.727272727272727,0.03125,10.521600000000001,0.3,0.08,41.37931034482759,14.76,3.2,3.9090909090909096,42.25806451612903
Kyle Lowry,PG,36,MIA,55,44,31.2,3.6,8.8,0.404,1.9,5.6,0.345,1.6,3.2,0.509,0.514,2.1,2.5,0.859,0.8,3.3,4.1,5.1,1.0,0.4,1.9,2.6,11.2,12.6,0.565,0.639,0.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,0.096,-0.7,0.8,0.2,0.9,28.333334,6.181818181818182,2.727272727272727,3.4545454545454546,2.6842105263157894,0.08982035928143713,9.4355,0.15064102564102563,0.08333333333333334,38.888888888888886,12.923076923076923,1.8571428571428574,2.8947368421052633,43.527272727272724
Trey Lyles,PF,27,SAC,74,0,16.9,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,0.565,1.4,1.7,0.815,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6,14.2,0.607,0.588,0.304,6.3,21.1,13.7,7.0,1.0,2.2,12.2,18.1,1.4,1.2,2.6,0.098,0.0,-0.9,-1.0,0.3,2.625,3.5135135135135136,1.8918918918918917,1.6216216216216217,1.0,0.07734806629834252,10.9867,0.2307692307692308,0.07692307692307693,36.781609195402304,16.189349112426036,1.625,4.111111111111112,23.027027027027028
Théo Maledon,PG,21,CHO,44,7,19.4,2.3,5.8,0.402,0.6,2.2,0.295,1.7,3.6,0.465,0.457,1.4,1.7,0.851,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,6.7,11.6,0.515,0.374,0.291,1.7,13.9,7.7,24.2,2.1,1.2,17.1,17.0,0.0,0.9,0.8,0.047,-3.0,0.5,-2.5,-0.1,1.9,1.8181818181818183,0.0,2.0454545454545454,2.692307692307692,0.0,8.755,0.18556701030927836,0.07216494845360825,27.500000000000004,12.432989690721651,1.2727272727272725,2.230769230769231,23.727272727272727
Sandro Mamukelashvili,C,23,TOT,43,7,15.3,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3.0,0.511,0.487,0.9,1.3,0.684,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1,13.4,0.516,0.43,0.248,11.2,19.0,15.1,12.8,1.0,1.5,12.1,18.2,0.4,0.5,0.9,0.063,-1.1,-1.3,-2.4,-0.1,0.357717,2.0930232558139537,0.9302325581395349,1.1627906976744187,1.7499999999999998,0.02197802197802198,9.3912,0.21568627450980393,0.0784313725490196,30.263157894736842,14.352941176470587,2.0,3.75,15.58139534883721
Terance Mann,SG,26,LAC,81,36,23.1,3.4,6.5,0.519,1.0,2.4,0.389,2.4,4.0,0.598,0.593,1.1,1.5,0.78,1.0,2.5,3.4,2.3,0.5,0.3,1.0,1.8,8.8,13.4,0.619,0.378,0.225,4.7,11.8,8.3,14.0,1.1,1.0,12.2,15.3,2.8,1.5,4.3,0.111,-0.3,0.1,-0.2,0.8,1.930681,5.308641975308642,3.45679012345679,1.8518518518518516,2.3,0.1830065359477124,9.4707,0.14285714285714285,0.07792207792207792,26.96629213483146,13.714285714285715,2.25,4.4,24.814814814814813
Tre Mann,PG,21,OKC,67,5,17.7,2.9,7.5,0.393,1.2,3.8,0.315,1.7,3.6,0.475,0.474,0.6,0.8,0.764,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,7.7,10.0,0.492,0.513,0.11,2.4,11.8,7.0,14.0,1.6,0.9,10.6,20.7,-0.6,1.1,0.5,0.021,-3.0,-1.0,-3.9,-0.6,3.0462,0.7462686567164178,-0.8955223880597015,1.6417910447761197,2.0,-0.028985507246376812,10.1844,0.15254237288135594,0.08474576271186442,33.62831858407079,15.661016949152543,1.875,4.555555555555555,16.417910447761198
Boban Marjanović,C,34,HOU,31,0,5.5,1.3,1.9,0.683,0.0,0.0,0.0,1.3,1.9,0.695,0.683,0.6,0.9,0.741,0.6,1.3,1.9,0.3,0.2,0.1,0.5,0.3,3.3,23.4,0.71,0.017,0.45,12.7,26.0,19.3,8.7,1.4,1.1,16.3,20.8,0.4,0.1,0.6,0.158,3.0,-1.5,1.6,0.2,4.101478,1.935483870967742,1.2903225806451613,0.3225806451612903,0.6,0.019230769230769232,14.767999999999999,0.29090909090909095,0.05454545454545454,0.0,21.599999999999998,0.9999999999999998,2.6,7.548387096774193
Lauri Markkanen,SF,25,UTA,66,66,34.4,8.7,17.3,0.499,3.0,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6.0,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,22.1,0.64,0.446,0.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,6.3,1.9,8.2,0.173,4.9,-1.0,3.8,3.3,16.475454,12.424242424242424,9.545454545454547,2.8787878787878785,1.0,0.23684210526315788,17.024,0.2296511627906977,0.06104651162790698,30.8,26.79069767441861,1.7500000000000002,6.157894736842105,63.62121212121212
Naji Marshall,SF,25,NOP,77,21,23.3,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,0.49,1.8,2.3,0.789,0.6,3.0,3.6,2.5,0.7,0.2,1.3,1.5,9.1,11.4,0.539,0.382,0.306,3.0,14.6,8.8,14.4,1.5,0.7,13.0,17.8,0.5,2.0,2.5,0.068,-1.9,0.0,-1.9,0.1,1.782621,3.2467532467532463,0.6493506493506493,2.5974025974025974,1.923076923076923,0.028089887640449437,9.5942,0.16738197424892703,0.06437768240343347,27.450980392156865,14.06008583690987,1.6666666666666667,3.153846153846154,29.61038961038961
Caleb Martin,PF,27,MIA,71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,0.54,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1.0,0.4,1.1,2.0,9.6,11.4,0.571,0.431,0.206,4.8,15.0,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,6.479,5.211267605633803,1.6901408450704223,3.5211267605633805,1.4545454545454546,0.08333333333333333,8.2224,0.1706484641638225,0.06825938566552901,30.0,11.795221843003413,1.4285714285714286,4.363636363636363,40.140845070422536
Kenyon Martin Jr.,SF,22,HOU,82,49,28.0,5.0,8.8,0.569,0.8,2.6,0.315,4.2,6.1,0.679,0.617,1.8,2.7,0.68,1.5,4.0,5.5,1.5,0.5,0.4,1.1,1.8,12.7,15.4,0.635,0.3,0.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,0.103,0.6,-1.3,-0.7,0.7,1.782621,5.975609756097562,5.121951219512195,0.8536585365853657,1.3636363636363635,0.25609756097560976,10.414,0.17500000000000002,0.0642857142857143,22.807017543859647,16.32857142857143,2.0,5.2727272727272725,13.146341463414632
Tyrese Martin,SG,23,ATL,16,0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1.0,0.5,0.413,0.1,0.1,1.0,0.3,0.4,0.8,0.1,0.1,0.0,0.1,0.1,1.3,7.7,0.44,0.304,0.087,8.2,11.7,10.0,3.9,0.7,0.0,7.7,16.5,0.0,0.0,0.0,-0.01,-4.2,-3.1,-7.4,-0.1,1.017781,0.0,0.0,0.0,1.0,0.0,7.26,0.12195121951219513,0.02439024390243903,22.222222222222225,11.414634146341466,1.0,6.999999999999999,0.0
Garrison Mathews,SG,26,TOT,54,0,12.7,1.4,3.7,0.363,1.2,3.3,0.35,0.2,0.4,0.476,0.52,0.9,1.0,0.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8,9.7,0.573,0.896,0.264,1.7,10.0,5.8,5.1,1.7,0.7,7.8,14.7,0.7,0.3,1.0,0.067,-2.0,-0.4,-2.4,-0.1,2.0,1.8518518518518516,1.2962962962962963,0.5555555555555556,1.25,0.047619047619047616,8.423099999999998,0.12598425196850396,0.08661417322834647,47.14285714285714,13.606299212598426,2.2,6.499999999999999,5.388888888888888
Bennedict Mathurin,SF,20,IND,78,17,28.5,5.3,12.2,0.434,1.3,4.0,0.323,4.0,8.2,0.488,0.487,4.8,5.8,0.828,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7,13.1,0.566,0.326,0.477,4.4,11.5,7.9,7.6,1.0,0.5,11.7,24.6,1.0,0.8,1.8,0.038,-1.2,-2.5,-3.7,-1.0,6.5868,2.307692307692308,1.282051282051282,1.0256410256410255,0.7894736842105263,0.04065040650406504,13.923599999999999,0.13333333333333333,0.0736842105263158,24.69135802469136,21.09473684210526,2.625,3.473684210526316,13.435897435897434
Wesley Matthews,SG,36,MIL,52,0,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.4,0.7,0.528,0.484,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4,7.0,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,0.3,0.9,1.2,0.073,-3.5,0.8,-2.7,-0.1,1.83609,2.3076923076923075,0.5769230769230769,1.7307692307692308,2.3333333333333335,0.03061224489795918,5.086200000000001,0.13924050632911392,0.08860759493670885,43.63636363636363,7.746835443037974,2.0,6.333333333333334,12.115384615384617
