Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Gary Harris,SG,28,ORL,48,42,24.7,2.9,6.4,0.45,2.0,4.5,0.431,0.9,1.9,0.494,0.603,0.6,0.6,0.9,0.4,1.6,2.0,1.2,0.9,0.3,0.6,1.9,8.3,10.5,0.62,0.71,0.098,2.0,7.4,4.7,6.9,1.8,1.0,8.0,12.6,1.3,1.1,2.3,0.095,-1.3,0.7,-0.7,0.4,13.0,4.791666666666666,2.7083333333333335,2.291666666666667,2.0,0.10317460317460318,7.811999999999999,0.11336032388663968,0.07692307692307693,41.28440366972477,12.097165991902836,1.5833333333333333,8.166666666666668,24.062500000000004
Joe Harris,SG,31,BRK,74,33,20.6,2.7,5.9,0.457,1.9,4.5,0.426,0.8,1.4,0.551,0.618,0.2,0.4,0.643,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6,10.6,0.621,0.757,0.064,1.7,10.1,6.0,9.1,1.1,0.7,8.3,14.3,1.5,1.1,2.6,0.083,-0.6,-0.6,-1.2,0.3,18.642857,3.5135135135135136,2.027027027027027,1.4864864864864866,2.3333333333333335,0.1048951048951049,8.8803,0.12621359223300968,0.09223300970873785,43.26923076923077,13.28155339805825,2.7142857142857144,7.666666666666666,15.756756756756758
Kevon Harris,SG,25,ORL,34,0,13.4,1.4,3.1,0.439,0.5,1.3,0.372,0.9,1.9,0.484,0.514,0.9,1.2,0.756,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,4.1,9.2,0.564,0.402,0.383,6.9,10.4,8.7,4.7,1.8,1.1,14.4,13.7,0.2,0.4,0.6,0.065,-3.5,-0.1,-3.6,-0.2,0.508891,1.7647058823529411,0.5882352941176471,1.1764705882352942,0.8333333333333334,0.014598540145985403,7.726799999999999,0.1343283582089552,0.11940298507462686,29.54545454545454,11.014925373134327,2.666666666666667,3.1666666666666665,10.823529411764705
Tobias Harris,PF,30,PHI,74,74,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,0.575,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,37.63305,7.972972972972974,4.1891891891891895,3.7837837837837833,2.0833333333333335,0.17032967032967034,10.956399999999999,0.1884498480243161,0.060790273556231005,27.848101265822784,16.085106382978722,1.4285714285714286,6.166666666666667,55.99999999999999
Josh Hart,SF-SG,27,TOT,76,52,32.3,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,0.588,1.7,2.3,0.75,1.9,5.9,7.8,3.8,1.2,0.3,1.5,2.6,9.8,14.1,0.622,0.315,0.338,6.5,21.0,13.7,16.1,1.8,0.8,16.4,12.6,3.8,2.2,6.0,0.118,-0.2,1.1,0.9,1.8,12.96,7.894736842105263,5.0,2.8947368421052633,2.533333333333333,0.30158730158730157,7.8372,0.22910216718266257,0.08049535603715172,24.444444444444446,10.922600619195048,1.7333333333333334,2.9333333333333336,40.81578947368421
Isaiah Hartenstein,C,24,NYK,82,8,19.8,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4.0,6.5,1.2,0.6,0.8,0.8,2.6,5.0,14.2,0.567,0.113,0.217,14.1,22.2,18.1,8.3,1.6,3.7,15.6,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7,7.804879,5.609756097560975,2.682926829268293,2.926829268292683,1.4999999999999998,0.19642857142857145,6.350399999999999,0.27272727272727276,0.13131313131313133,11.11111111111111,9.090909090909092,1.8571428571428574,2.75,41.56097560975609
Sam Hauser,PF,25,BOS,80,8,16.1,2.3,5.0,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.631,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,12.7,0.634,0.846,0.043,3.0,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,0.128,0.6,0.4,1.0,1.0,1.637966,4.25,2.25,2.0,2.25,0.12244897959183675,9.319799999999999,0.17391304347826084,0.07453416149068322,45.652173913043484,14.310559006211179,1.7142857142857144,10.249999999999998,25.4
Jaxson Hayes,C,22,NOP,47,2,13.0,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.561,1.2,1.8,0.699,0.8,2.0,2.8,0.7,0.4,0.4,0.7,1.4,5.0,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3.0,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1.0,-1.2,0.1,6.803012,3.1914893617021276,1.276595744680851,1.9148936170212765,1.0,0.03821656050955414,9.4985,0.21538461538461537,0.10769230769230768,15.384615384615385,13.846153846153847,1.7499999999999998,2.714285714285715,26.234042553191486
Killian Hayes,PG,21,DET,76,56,28.3,4.0,10.7,0.377,1.1,3.8,0.28,3.0,7.0,0.429,0.426,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,10.2,0.455,0.351,0.137,1.4,10.2,5.7,32.3,2.3,1.1,16.7,20.5,-1.9,1.4,-0.5,-0.012,-3.3,-0.5,-3.8,-1.0,5.83776,-0.6578947368421052,-2.5,1.8421052631578945,2.695652173913044,-0.09268292682926829,9.3275,0.1519434628975265,0.10247349823321554,26.206896551724135,13.102473498233216,1.6111111111111112,2.217391304347826,18.789473684210524
Gordon Hayward,SF,32,CHO,50,50,31.5,5.5,11.6,0.475,1.0,3.2,0.325,4.5,8.4,0.532,0.52,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2.0,1.4,14.7,13.5,0.563,0.275,0.274,2.2,12.6,7.3,19.3,1.3,0.7,13.2,20.0,0.8,1.1,2.0,0.059,-1.1,-0.3,-1.4,0.2,30.075,4.0,1.6,2.2,2.05,0.04,11.259999999999998,0.146031746031746,0.04444444444444444,21.62162162162162,16.799999999999997,1.4,3.25,29.700000000000003
Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9,7.6,0.504,0.588,0.14,4.6,19.1,11.3,5.2,1.3,0.9,11.0,9.4,0.1,0.6,0.7,0.053,-3.5,0.2,-3.3,-0.2,1.83609,1.6666666666666667,0.2380952380952381,1.4285714285714286,1.4999999999999998,0.010638297872340425,4.7376000000000005,0.1917808219178082,0.0684931506849315,37.20930232558139,7.150684931506849,2.0,3.75,10.857142857142858
Willy Hernangómez,C,28,NOP,38,2,12.1,2.3,4.4,0.527,0.1,0.3,0.273,2.3,4.2,0.544,0.536,2.1,2.7,0.779,1.5,3.2,4.7,0.9,0.4,0.3,1.0,1.7,6.9,20.7,0.61,0.065,0.615,14.4,30.1,22.3,10.7,1.8,2.7,15.4,23.8,0.8,0.8,1.6,0.171,-0.2,0.5,0.3,0.3,2.443581,4.2105263157894735,2.1052631578947367,2.1052631578947367,0.9,0.03361344537815126,14.518,0.3223140495867769,0.14049586776859505,6.382978723404255,20.528925619834716,2.428571428571429,2.4,43.57894736842105
Tyler Herro,SG,23,MIA,67,67,34.9,7.3,16.6,0.439,3.0,8.0,0.378,4.2,8.5,0.497,0.531,2.5,2.7,0.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,15.3,0.566,0.484,0.164,1.3,17.3,9.0,19.9,1.1,0.7,11.7,25.6,1.1,2.4,3.5,0.072,1.5,-0.8,0.6,1.6,5.722116,5.223880597014925,1.6417910447761197,3.582089552238806,1.7500000000000002,0.04296875,14.4896,0.17191977077363899,0.042979942693409746,32.52032520325203,20.73352435530086,1.5,4.291666666666667,54.80597014925374
Buddy Hield,SF,30,IND,80,73,31.0,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.596,1.3,1.6,0.822,0.8,4.2,5.0,2.8,1.2,0.3,1.7,2.0,16.8,15.4,0.614,0.652,0.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,0.085,2.5,-0.6,1.9,2.4,21.17775,5.500000000000001,3.375,2.0,1.6470588235294117,0.12980769230769232,12.7712,0.18387096774193548,0.06451612903225806,39.53488372093023,19.50967741935484,1.3333333333333333,5.588235294117648,30.8
Haywood Highsmith,SF,26,MIA,54,11,17.9,1.7,4.0,0.431,0.7,2.0,0.339,1.0,2.0,0.523,0.516,0.2,0.5,0.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,8.5,0.517,0.505,0.13,6.7,16.4,11.4,6.2,1.9,1.8,16.5,12.5,-0.3,1.3,0.9,0.046,-3.7,0.7,-3.0,-0.3,1.752638,1.6666666666666667,-0.5555555555555556,2.4074074074074074,1.0,-0.024,6.4625,0.1899441340782123,0.08379888268156425,33.33333333333333,8.849162011173187,1.5,2.9999999999999996,20.462962962962962
George Hill,PG,36,TOT,46,1,18.1,1.7,3.6,0.47,0.7,2.1,0.358,1.0,1.5,0.62,0.572,0.9,1.2,0.764,0.3,1.5,1.8,2.4,0.6,0.1,0.7,1.2,5.0,10.6,0.61,0.572,0.331,2.0,8.6,5.4,16.7,1.5,0.6,15.2,11.3,1.1,0.8,1.9,0.107,-2.4,0.9,-1.5,0.1,4.0,4.130434782608695,2.391304347826087,1.7391304347826086,3.428571428571429,0.09734513274336283,6.893000000000001,0.12154696132596685,0.06629834254143646,36.84210526315789,9.944751381215468,1.7142857142857144,3.428571428571429,18.434782608695652
Aaron Holiday,PG,26,ATL,63,6,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,2.1,0.424,0.5,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13.0,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2.0,0.0,1.83609,1.4285714285714286,0.47619047619047616,0.9523809523809523,2.3333333333333335,0.022388059701492536,7.075200000000001,0.11940298507462686,0.09701492537313433,28.57142857142857,10.477611940298507,1.625,3.5000000000000004,8.952380952380953
Jrue Holiday,PG,32,MIL,67,65,32.6,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,0.556,2.3,2.6,0.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,1.7,19.3,19.2,0.586,0.402,0.173,3.9,12.0,8.1,34.4,1.7,0.9,15.2,25.0,3.9,2.8,6.7,0.148,3.0,0.1,3.1,2.8,33.66504,10.0,5.820895522388059,4.17910447761194,2.5517241379310347,0.156,14.649999999999999,0.1687116564417178,0.05214723926380368,28.504672897196258,21.312883435582823,1.0625,3.3448275862068964,80.23880597014924
Justin Holiday,SG,33,TOT,46,2,15.3,1.7,4.4,0.377,1.0,3.1,0.322,0.7,1.3,0.508,0.49,0.1,0.2,0.625,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5,4.5,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.8,-0.1,-3.9,-0.3,6.862261,0.21739130434782608,-0.8695652173913043,1.0869565217391304,1.8,-0.028368794326241138,6.9654,0.12418300653594772,0.09803921568627451,41.333333333333336,10.588235294117647,1.875,5.4,7.17391304347826
Richaun Holmes,C,29,SAC,42,1,8.3,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.646,0.4,0.5,0.789,0.7,1.2,1.9,0.2,0.1,0.3,0.3,1.2,3.1,12.9,0.668,0.09,0.213,9.6,16.6,13.1,3.5,0.4,2.8,12.6,13.7,0.6,0.3,0.8,0.113,-2.0,-0.9,-2.9,-0.1,11.21526,1.9047619047619049,1.4285714285714286,0.7142857142857143,0.6666666666666667,0.043795620437956206,9.1516,0.19277108433734938,0.14457831325301204,8.695652173913043,13.44578313253012,2.9999999999999996,4.666666666666667,9.214285714285715
Al Horford,C,36,BOS,63,63,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,26.5,10.0,5.714285714285714,4.285714285714286,5.0,0.3025210084033613,7.508900000000001,0.21311475409836064,0.06229508196721311,40.625,11.567213114754098,1.2666666666666666,9.833333333333334,59.142857142857146
Talen Horton-Tucker,SG,22,UTA,65,20,20.2,4.0,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,0.467,1.9,2.6,0.75,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,13.7,0.508,0.331,0.274,3.4,13.7,8.6,27.4,1.5,1.9,15.5,25.9,-0.3,1.1,0.8,0.029,-1.1,-0.5,-1.6,0.1,10.26,1.2307692307692308,-0.4615384615384615,1.6923076923076925,2.0,-0.011583011583011582,13.1572,0.17821782178217824,0.08415841584158416,24.8,19.06930693069307,1.7,2.578947368421053,23.184615384615388
Danuel House Jr.,SF,29,PHI,56,5,14.4,1.7,3.5,0.472,0.7,2.0,0.336,1.0,1.6,0.644,0.566,0.8,1.1,0.75,0.2,1.5,1.7,0.8,0.3,0.2,0.5,1.2,4.8,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,0.075,-2.4,-0.5,-3.0,-0.2,4.105,2.3214285714285716,1.0714285714285714,1.25,1.6,0.043478260869565216,8.28,0.1388888888888889,0.08333333333333333,36.36363636363637,12.0,2.4,4.8,11.75
Caleb Houstan,SF,20,ORL,51,4,15.9,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.489,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,6.2,0.508,0.747,0.099,4.7,9.1,6.9,4.9,0.7,0.8,8.7,11.0,0.1,0.5,0.7,0.039,-3.1,-0.9,-4.0,-0.4,2.0,1.3725490196078431,0.19607843137254902,0.9803921568627451,1.4999999999999998,0.009090909090909092,5.588,0.10062893081761007,0.07547169811320754,42.857142857142854,8.60377358490566,3.999999999999999,5.5,6.078431372549019
Kevin Huerter,SG,24,SAC,75,75,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,15.2,0.617,0.589,0.151,2.2,10.8,6.5,14.1,1.7,1.0,9.5,19.9,3.3,1.7,4.9,0.107,1.4,-0.3,1.0,1.7,14.508929,6.533333333333334,4.3999999999999995,2.2666666666666666,2.230769230769231,0.1658291457286432,12.2783,0.14285714285714288,0.0816326530612245,37.158469945355186,18.612244897959183,1.714285714285714,6.384615384615385,34.45333333333333
De'Andre Hunter,SF,25,ATL,67,67,31.7,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.522,2.6,3.1,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,3.0,15.4,11.5,0.563,0.348,0.252,2.3,12.4,7.3,6.0,0.8,0.7,8.2,19.7,1.4,1.2,2.5,0.057,-1.9,-1.4,-3.3,-0.7,9.835881,3.731343283582089,2.08955223880597,1.791044776119403,1.1666666666666667,0.07106598984771574,11.091099999999999,0.13880126182965302,0.09463722397476342,25.90361445783132,17.48895899053628,3.75,6.0,20.597014925373134
Bones Hyland,PG,22,TOT,56,1,19.4,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.502,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,14.9,0.535,0.552,0.179,2.1,11.8,7.1,23.4,1.8,1.2,11.7,28.0,0.3,1.1,1.4,0.062,0.4,-1.2,-0.8,0.3,2.20152,2.5,0.5357142857142857,1.9642857142857146,2.066666666666667,0.010714285714285714,14.98,0.1597938144329897,0.08762886597938145,35.44303797468354,21.896907216494846,1.7,4.133333333333333,29.26785714285715
Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,9.8,0.553,0.333,0.241,8.8,15.7,12.4,2.9,0.5,3.1,15.6,16.1,0.0,0.2,0.2,0.058,-4.6,0.0,-4.6,-0.1,1.83609,1.25,0.0,1.25,0.4285714285714286,0.0,8.903300000000002,0.1982758620689655,0.12068965517241378,24.444444444444446,12.724137931034482,2.8,2.857142857142857,12.25
Joe Ingles,SF,35,MIL,46,0,22.7,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.603,0.4,0.5,0.857,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,6.479,5.0,2.391304347826087,2.608695652173913,2.75,0.08730158730158731,7.7616,0.14537444933920704,0.07048458149779736,44.89795918367347,10.94273127753304,2.0000000000000004,3.4166666666666665,27.913043478260867
Brandon Ingram,SF,25,NOP,45,45,34.2,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,0.522,5.3,6.0,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,2.6,24.7,19.2,0.582,0.196,0.326,1.7,16.4,9.1,28.1,1.0,1.2,13.4,30.8,1.8,1.7,3.5,0.108,2.2,-0.4,1.7,1.5,31.6506,7.777777777777778,4.0,3.7777777777777777,1.7575757575757576,0.05844155844155844,17.9256,0.17836257309941517,0.07602339181286549,16.216216216216214,25.999999999999996,2.3636363636363633,3.151515151515152,72.53333333333333
