Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
82,Malcolm Brogdon,PG,30,BOS,67,1744,18.2,.615,.406,.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,,3.6,2.2,5.8,.161,,2.3,0.6,2.8,2.1,brogdma01
83,Dillon Brooks,SF,27,MEM,73,2214,9.4,.494,.443,.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,,-0.8,2.4,1.6,.034,,-3.4,-0.5,-3.9,-1.1,brookdi01
84,Bruce Brown,SG,26,DEN,80,2280,13.3,.571,.343,.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,,1.7,2.6,4.3,.090,,-1.1,0.6,-0.5,0.8,brownbr01
85,Greg Brown III,PF,21,POR,16,93,5.8,.421,.250,.429,2.5,21.2,11.7,4.5,2.1,4.8,15.3,18.4,,-0.3,0.1,-0.1,-0.074,,-8.5,0.0,-8.5,-0.2,browngr01
86,Jaylen Brown,SF,26,BOS,67,2405,19.1,.581,.352,.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,,1.6,3.4,5.0,.100,,1.5,-0.2,1.3,2.0,brownja02
87,Kendall Brown,SG,19,IND,6,40,9.1,.571,.143,.286,5.6,11.1,8.3,9.7,4.7,0.0,20.2,10.4,,0.0,0.1,0.1,.071,,-7.0,4.0,-2.9,0.0,brownke03
88,Moses Brown,C,23,TOT,36,294,22.2,.607,.000,.750,22.0,30.9,26.5,2.1,0.7,4.2,10.5,21.2,,0.7,0.4,1.1,.179,,0.6,-1.2,-0.6,0.1,brownmo01
89,Moses Brown,C,23,LAC,34,288,22.7,.607,.000,.750,22.4,31.5,27.0,2.2,0.5,4.3,9.9,21.5,,0.7,0.4,1.1,.185,,0.9,-1.3,-0.4,0.1,brownmo01
90,Moses Brown,C,23,BRK,2,6,-2.6,,,,0.0,0.0,0.0,0.0,8.1,0.0,100.0,7.4,,0.0,0.0,0.0,-0.129,,-12.7,2.8,-9.9,0.0,brownmo01
91,Sterling Brown,SG,27,LAL,4,24,7.0,.000,.500,.000,13.9,21.6,17.8,9.4,5.9,0.0,0.0,7.0,,0.0,0.1,0.0,.040,,-8.5,5.2,-3.3,0.0,brownst02
92,Troy Brown Jr.,SF,23,LAL,76,1860,9.6,.561,.604,.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,,1.0,2.0,2.9,.075,,-1.8,0.8,-1.0,0.5,browntr01
93,Jalen Brunson,PG,26,NYK,68,2379,21.2,.597,.269,.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,,6.9,1.8,8.7,.175,,4.4,-0.5,3.9,3.5,brunsja01
94,Thomas Bryant,C,25,TOT,59,1081,19.7,.682,.160,.341,8.9,24.6,17.0,4.3,0.7,2.4,8.2,18.2,,2.7,1.4,4.1,.183,,1.1,-0.5,0.6,0.7,bryanth01
95,Thomas Bryant,C,25,LAL,41,876,21.5,.712,.166,.359,8.5,25.1,17.1,5.0,0.8,2.2,7.4,18.2,,2.7,1.2,3.8,.211,,2.4,-0.1,2.3,0.9,bryanth01
96,Thomas Bryant,C,25,DEN,18,205,11.8,.547,.132,.265,11.0,22.4,16.8,1.3,0.5,3.0,11.6,18.2,,0.0,0.2,0.3,.066,,-4.4,-2.2,-6.6,-0.2,bryanth01
97,Reggie Bullock,SF,31,DAL,78,2364,7.7,.577,.845,.079,1.6,12.5,7.0,6.2,1.1,0.5,6.9,10.0,,1.3,1.4,2.8,.056,,-2.2,-0.3,-2.6,-0.4,bullore01
98,Alec Burks,SG,31,DET,51,1122,16.5,.602,.521,.410,1.8,14.2,7.8,15.9,1.6,0.6,9.7,22.8,,1.9,0.6,2.5,.109,,1.8,-0.5,1.2,0.9,burksal01
99,Deonte Burton,SG,29,SAC,2,6,-12.6,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,-0.347,,-14.7,-9.9,-24.6,0.0,burtode02
