Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
411,Dario Šari?,PF,28,OKC,4,0,11.5,1.8,3.5,0.5,0.8,2,0.375,1,1.5,0.667,0.607,1.8,1.8,1,0.8,2,2.8,0.8,0.3,0,1.5,1.8,6
412,Jordan Schakel,SF,24,WAS,2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,0,0,0.5,0.5,0,0,0.5,1.5
413,Admiral Schofield,PF,25,ORL,28,0,12.6,1.6,3.3,0.478,0.6,1.9,0.333,0.9,1.4,0.684,0.576,0.6,0.7,0.895,0.7,1.2,1.9,0.8,0.2,0.1,0.2,1.9,4.4
414,Dennis Schröder,PG,29,LAL,47,42,30.7,4,9.5,0.424,1.2,3.4,0.342,2.9,6.1,0.47,0.485,3.2,3.7,0.873,0.3,2.3,2.5,4.3,0.7,0.1,1.6,2.2,12.5
415,Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0,0,,0.2,0,0.2,0,0,0,0,0.2,0.8
416,Alperen ?engün,C,20,HOU,55,52,28.1,5.9,10.6,0.554,0.2,0.7,0.333,5.7,9.9,0.57,0.565,3,3.9,0.751,3.2,5.5,8.8,3.8,0.8,0.9,2.5,3.4,15
417,Collin Sexton,SG,24,UTA,47,15,24,4.9,9.7,0.507,1,2.5,0.41,3.9,7.2,0.54,0.559,3.4,4.2,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
418,Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,0.38,2,5.4,0.377,1,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1,1.5,9.5
419,Day'Ron Sharpe,C,21,BRK,33,2,10.4,1.7,3.1,0.545,0.1,0.2,0.667,1.5,2.9,0.537,0.564,0.5,0.8,0.593,1.7,2.2,3.8,0.8,0.2,0.5,0.9,1.9,3.9
420,Shaedon Sharpe,SG,19,POR,59,5,20.2,3.2,6.7,0.471,1,2.8,0.347,2.2,3.9,0.561,0.544,0.5,0.8,0.667,0.8,1.7,2.5,0.6,0.4,0.3,0.7,1.6,7.9
421,Pascal Siakam,C,28,TOR,52,52,37.5,9.1,19,0.479,1.4,4.1,0.349,7.6,14.8,0.515,0.517,5.7,7.5,0.768,1.8,5.9,7.7,6.1,0.8,0.6,2.5,3.3,25.3
422,Chris Silva,PF,26,DAL,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,1,2,2
423,Ben Simmons,PG,26,BRK,42,33,26.3,3.2,5.6,0.566,0,0,0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9
424,Marko Simonovic,C,23,CHI,3,0,1.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.3,0
425,Anfernee Simons,SG,23,POR,56,56,35.5,7.6,16.9,0.45,3.5,9.2,0.381,4.1,7.8,0.532,0.553,2.6,2.9,0.913,0.3,2.4,2.7,4.2,0.7,0.2,2.2,2.4,21.4
426,Jericho Sims,C,24,NYK,48,16,16.1,1.7,2.2,0.769,0,0,0,1.7,2.1,0.777,0.769,0.3,0.3,0.75,1.9,2.9,4.8,0.5,0.3,0.6,0.5,1.9,3.6
427,Marcus Smart,PG,28,BOS,44,44,32.3,4,9.5,0.424,1.8,5.3,0.33,2.3,4.2,0.543,0.517,1.4,1.8,0.769,0.7,2.8,3.5,7,1.4,0.4,2.4,2.6,11.2
