Rk,Player,Tm,Salary 2022-23
318,Willie Cauley-Stein,HOU,
319,Montrezl Harrell,PHI,"$2,463,490"
320,Willy Hernangómez,NOP,"$2,443,581"
321,R.J. Hampton,ORL,"$2,898,243"
322,Blake Wesley,SAS,"$2,385,480"
323,Josh Christopher,HOU,"$2,372,160"
324,Stanley Johnson,UTA,"$3,596,685"
325,Immanuel Quickley,NYK,"$2,316,240"
326,Wendell Moore Jr.,MIN,"$2,306,520"
327,John Konchar,MEM,"$2,300,000"
328,Damian Jones,UTA,"$2,298,385"
329,Quentin Grimes,NYK,"$2,277,000"
330,Andrew Nembhard,IND,"$2,244,111"
331,Nikola Jović,MIA,"$2,239,920"
332,Payton Pritchard,BOS,"$2,239,200"
333,Vlatko Čančar,DEN,"$2,234,359"
334,Patrick Baldwin Jr.,GSW,"$2,226,000"
335,TyTy Washington Jr.,HOU,"$2,210,040"
336,Bones Hyland,LAC,"$2,201,520"
337,Bol Bol,ORL,"$2,200,000"
338,Peyton Watson,DEN,"$2,193,960"
339,Marquese Chriss,OKC,"$2,193,920"
340,Joe Wieskamp,SAS,"$2,720,989"
341,Udoka Azubuike,UTA,"$2,174,880"
342,Jaden McDaniels,MIN,"$2,161,440"
343,Jordan McLaughlin,MIN,"$2,160,000"
344,Malachi Flynn,TOR,"$2,145,720"
345,Cam Thomas,BRK,"$2,138,160"
346,Luke Kornet,BOS,"$2,133,278"
347,PJ Dozier,MIN,"$539,450"
348,Desmond Bane,MEM,"$2,130,240"
349,Jaden Springer,PHI,"$2,125,200"
350,Day'Ron Sharpe,BRK,"$2,109,480"
351,Jevon Carter,MIL,"$6,025,000"
352,Santi Aldama,MEM,"$2,094,120"
353,Frank Ntilikina,DAL,"$2,036,318"
354,Tony Bradley,CHI,"$2,036,318"
355,Kenrich Williams,OKC,"$2,000,000"
356,Caleb Houstan,ORL,"$2,000,000"
357,Jaylin Williams,OKC,"$2,000,000"
358,Jeremiah Robinson-Earl,OKC,"$2,000,000"
359,Danny Green,CLE,"$11,710,528"
360,Garrison Mathews,ATL,"$2,000,000"
361,Shake Milton,PHI,"$1,997,718"
362,Edmond Sumner,BRK,"$1,968,175"
363,Daniel Gafford,WAS,"$1,930,681"
364,Terance Mann,LAC,"$1,930,681"
365,Dean Wade,CLE,"$1,930,681"
366,Isaiah Roby,SAS,"$1,930,681"
367,Jalen McDaniels,PHI,"$1,930,681"
368,Jaylen Nowell,MIN,"$1,930,681"
369,Naz Reid,MIN,"$1,930,681"
370,Lindy Waters III,OKC,"$1,927,896"
371,Chimezie Metu,SAC,"$1,910,860"
372,KZ Okpala,SAC,"$1,902,133"
373,Davon Reed,LAL,"$1,902,133"
374,Juwan Morgan,LAC,"$576,230"
375,Théo Maledon,HOU,"$1,900,000"
376,Svi Mykhailiuk,TOR,"$3,714,810"
377,Keita Bates-Diop,SAS,"$1,878,720"
378,Moritz Wagner,ORL,"$1,878,720"
379,Thanasis Antetokounmpo,MIL,"$1,878,720"
380,Wenyen Gabriel,LAL,"$1,878,720"
381,Oshae Brissett,IND,"$1,846,738"
382,Anthony Gill,WAS,"$1,836,090"
383,Gorgui Dieng,SAS,"$2,458,672"
384,James Johnson,IND,"$2,427,016"
385,Taj Gibson,WAS,"$1,836,090"
