,,22/23,23/24,24/25,25/26,26/27,27/28
185,Taurean Prince,7295000,7650000,0,0,0,0
186,Jaden Ivey,7252200,7614480,7977240,10107163,13402098,0
187,Jae'Sean Tate,7065217,6500000,7065217,0,0,0
188,Isaac Okoro,7040880,8920794,11828974,0,0,0
189,Cody Martin,7000000,7560000,8120000,8680000,0,0
190,Jalen Suggs,6922320,7252080,9188385,12183799,0,0
191,Jaxson Hayes,6803012,9170460,0,0,0,0
192,Khem Birch,6667500,6985000,0,0,0,0
193,Bennedict Mathurin,6586800,6916080,7245720,9187573,12256222,0
194,Patrick Mills,6479000,6802950,0,0,0,0
194,Bruce Brown,6479000,6802950,0,0,0,0
194,Caleb Martin,6479000,6802950,7126900,0,0,0
194,Lonnie Walker,6479000,0,0,0,0,0
194,Joe Ingles,6479000,0,0,0,0,0
199,Onyeka Okongwu,6395160,8109063,10817490,0,0,0
200,Justin Holiday,6292440,0,0,0,0,0
201,Josh Giddey,6287400,6587040,8352367,11142057,0,0
202,Rui Hachimura,6263188,8486619,0,0,0,0
203,Rudy Gay,6184500,6479000,0,0,0,0
204,Jevon Carter,6025000,2239943,0,0,0,0
205,Shaedon Sharpe,6012960,6313800,6614160,8399983,11264377,0
206,Cameron Payne,6000000,6500000,0,0,0,0
206,Otto Porter,6000000,6300000,0,0,0,0
208,Cam Reddish,5954454,8109966,0,0,0,0
209,Cameron Johnson,5887899,8060533,0,0,0,0
210,Ricky Rubio,5853659,6146342,6439025,0,0,0
211,Killian Hayes,5837760,7413955,9942114,0,0,0
212,PJ Washington,5808435,7992407,0,0,0,0
213,Jonathan Kuminga,5739840,6012840,7636307,10240287,0,0
214,Pat Connaughton,5728393,9423869,9423869,9423869,0,0
215,Tyler Herro,5722116,7913686,0,0,0,0
216,Romeo Langford,5634257,7837251,0,0,0,0
217,Dyson Daniels,5508600,5784120,6059520,7707709,10389992,0
218,JaVale McGee,5461219,5734280,6007341,0,0,0
219,Obi Toppin,5348280,6803012,9170460,0,0,0
220,Franz Wagner,5258280,5508720,7007092,9445560,0,0
221,Kendrick Nunn,5250000,0,0,0,0,0
222,Hamidou Diallo,5200000,0,0,0,0,0
223,Cory Joseph,5155500,0,0,0,0,0
223,Garrett Temple,5155500,5401000,0,0,0,0
225,Torrey Craig,5121951,0,0,0,0,0
226,Jeremy Sochan,5063520,5316960,5570040,7096231,9615393,0
227,David Nwaba,5022000,5394000,0,0,0,0
228,Nickeil Alexander-Walker,5009633,7073602,0,0,0,0
229,Furkan Korkmaz,5000000,5370370,0,0,0,0
230,Deni Avdija,4916160,6263188,8486619,0,0,0
231,Davion Mitchell,4833600,5063640,6451077,8741210,0,0
232,Johnny Davis,4810320,5050800,5291160,6746229,9188364,0
233,Goga Bitadze,4765339,6762016,0,0,0,0
234,Ishmael Smith,4725000,0,0,0,0,0
235,Jalen Smith,4670160,5043773,5417386,0,0,0
236,Ziaire Williams,4591680,4810200,6133005,8353152,0,0
237,Ousmane Dieng,4569840,4798440,5027040,6670882,9132438,0
238,Moe Harkless,4564980,0,0,0,0,0
239,Donte DiVincenzo,4500000,4725000,0,0,0,0
239,Jeff Green,4500000,0,0,0,0,0
241,Devin Vassell,4437000,5887899,8060534,0,0,0
242,Matisse Thybulle,4379526,6275861,0,0,0,0
243,Jarred Vanderbilt,4374000,4698000,0,0,0,0
244,James Bouknight,4362240,4570080,6064496,8302295,0,0
245,Brandon Clarke,4343919,6259588,0,0,0,0
246,Jalen Williams,4341480,4558680,4775760,6580997,9055452,0
247,Grant Williams,4306281,6235494,0,0,0,0
248,Darius Bazley,4264628,6205035,0,0,0,0
249,Ty Jerome,4220057,6169723,0,0,0,0
250,Tyrese Haliburton,4215120,5808435,7992406,0,0,0
251,Nassir Little,4171548,6128004,0,0,0,0
252,Josh Primo,4144320,4341600,5982725,8232229,0,0
253,Jalen Duren,4124280,4330680,4536840,6483144,8966189,0
254,Danuel House,4105000,4310250,0,0,0,0
255,Justise Winslow,4097561,0,0,0,0,0
256,Dylan Windler,4037277,5959021,0,0,0,0
257,Kira Lewis,4004280,5722116,7913686,0,0,0
258,George Hill,4000000,0,0,0,0,0
258,Terence Davis,4000000,0,0,0,0,0
260,Chris Duarte,3936960,4124400,5893768,8151081,0,0
261,Alex Len,3918600,0,0,0,0,0
262,Ochai Agbaji,3918360,4114200,4310280,6383525,8879483,0
263,Jordan Poole,3901399,5813084,0,0,0,0
264,Keldon Johnson,3873024,20000000,19000000,17500000,17500000,0
265,Aaron Nesmith,3804360,5634257,7837251,0,0,0
266,Moses Moody,3740160,3918480,5803269,8072347,0,0
267,Mark Williams,3722040,3908160,4094280,6276531,8774591,0
268,Cole Anthony,3613680,5539771,7744600,0,0,0
269,Corey Kispert,3552840,3722040,5705887,7976830,0,0
270,AJ Griffin,3536160,3712920,3889920,5967137,8383828,0
271,Boban Marjanovic,3500000,0,0,0,0,0
271,Mike Muscala,3500000,3500000,0,0,0,0
273,Georges Niang,3465000,0,0,0,0,0
274,Isaiah Stewart,3433320,5266713,7399731,0,0,0
274,Chuma Okeke,3433320,5266712,7399731,0,0,0
276,Trey Burke,3423750,0,0,0,0,0
277,Amir Coffey,3395062,3666667,3938271,0,0,0
278,Alperen Sengun,3375360,3536280,5424654,7621638,0,0
279,Tari Eason,3359160,3527160,3695160,5675766,8014181,0
280,Aleksej Pokusevski,3261480,5009633,7073602,0,0,0
281,Kevin Porter,3217631,4826446,0,0,0,0
282,Trey Murphy,3206520,3359280,5159854,7285713,0,0
283,Simone Fontecchio,3205128,3044872,0,0,0,0
284,Andre Drummond,3200000,3360000,0,0,0,0
284,Derrick Jones,3200000,3360000,0,0,0,0
286,Dalen Terry,3191400,3350760,3510480,5399118,7661349,0
287,Josh Green,3098400,4765339,6762016,0,0,0
288,Jake LaRavia,3047640,3199920,3352680,5163127,7362619,0
289,Tre Mann,3046200,3191400,4908373,6964982,0,0
290,Kevin Knox,3000000,3000000,0,0,0,0
290,Sterling Brown,3000000,0,0,0,0,0
292,Saddiq Bey,2959080,4556983,6498258,0,0,0
293,Malaki Branham,2925600,3071880,3217920,4962033,7110593,0
294,Kai Jones,2909040,3047880,4693735,6693266,0,0
295,Goran Dragic,2905851,0,0,0,0,0
295,Robin Lopez,2905851,0,0,0,0,0
295,Serge Ibaka,2905851,0,0,0,0,0
295,Wesley Matthews,2905851,0,0,0,0,0
295,Austin Rivers,2905851,0,0,0,0,0
295,Bismack Biyombo,2905851,0,0,0,0,0
295,Gorgui Dieng,2905851,0,0,0,0,0
295,Taj Gibson,2905851,0,0,0,0,0
303,Andrew Nicholson,2844429,2844429,0,0,0,0
304,Precious Achiuwa,2840160,4379526,6275861,0,0,0
305,Christian Braun,2808600,2949120,3089640,4921797,7092309,0
306,Jalen Johnson,2792640,2925360,4510905,6464127,0,0
307,Tyrese Maxey,2726880,4343920,6259588,0,0,0
308,Walker Kessler,2696400,2831160,2965920,4878938,7064703,0
309,Keon Johnson,2681040,2808720,4474291,6447453,0,0
310,TJ Warren,2628597,0,0,0,0,0
310,Matthew Dellavedova,2628597,0,0,0,0,0
312,Trey Lyles,2625000,0,0,0,0,0
313,Zeke Nnaji,2617800,4306281,6235495,0,0,0
314,David Roddy,2588640,,0,0,0,0
315,Isaiah Jackson,2573760,2696280,4435380,6422431,0,0
316,MarJon Beauchamp,2485200,2609400,2733720,4781276,6990226,0
317,Usman Garuba,2471160,2588400,4392515,6391109,0,0
317,Leandro Bolmaro,2471160,2588400,4392515,6391109,0,0
319,Frank Kaminsky,2463490,0,0,0,0,0
319,Raul Neto,2463490,0,0,0,0,0
321,Willy Hernangomez,2443581,2559942,0,0,0,0
322,RJ Hampton,2412840,4220057,6169723,0,0,0
323,Blake Wesley,2385480,2504640,2624280,4726328,6942976,0
324,Josh Christopher,2372160,2485200,4346615,6354751,0,0
325,Stanley Johnson,2351521,0,0,0,0,0
326,Immanuel Quickley,2316240,4171548,6128004,0,0,0
327,Wendell Moore,2306520,2421720,2537040,4574283,6751642,0
328,John Konchar,2300000,2400000,6165000,6165000,6165000,0
329,Damian Jones,2298385,2586665,0,0,0,0
329,Rodney McGruder,2298385,0,0,0,0,0
329,Bryn Forbes,2298385,0,0,0,0,0
329,Juan Hernangomez,2298385,0,0,0,0,0
333,Quentin Grimes,2277000,2385720,4296682,6311825,0,0
334,Andrew Nembhard,2244111,2131905,2019699,2187451,0,0
335,Nikola Jovic,2239920,2352000,2464200,4445417,6592553,0
336,Payton Pritchard,2239200,4037277,5959021,0,0,0
337,Vlatko Cancar,2234359,2234359,2346606,0,0,0
338,Patrick Baldwin,2226000,2337720,2448840,4420156,6586033,0
339,TyTy Washington,2210040,2320440,2431080,4388099,6582149,0
340,Bones Hyland,2201520,2306400,4158439,6137856,0,0
341,Bol Bol,2200000,2200000,0,0,0,0
342,Peyton Watson,2193960,2303520,2413560,4356476,6534714,0
343,Marquese Chriss,2193920,0,0,0,0,0
344,Udoka Azubuike,2174880,3923483,5818526,0,0,0
345,Jaden McDaniels,2161440,3901399,5813084,0,0,0
346,Jordan McLaughlin,2160000,2320000,0,0,0,0
347,Malachi Flynn,2145720,3873024,5809537,0,0,0
348,Cam Thomas,2138160,2240160,4041249,5993172,0,0
349,Luke Kornet,2133278,2413304,0,0,0,0
349,DJ Wilson,2133278,2413304,0,0,0,0
